Sambalpur	21	21.465	83.976
Bhusawal	16	21.044	75.785
Raebareli	36	26.231	81.233
Haridwar	39	29.948	78.160
Phusro	38	23.756	86.005
Adoni	02	15.628	77.275
Sujangarh	24	27.700	74.467
Sirsa	10	29.535	75.029
Dinapur Nizamat	34	25.638	85.051
Bahraigh	36	27.574	81.595
Karaikkudi	25	10.066	78.768
Sultan Pur Majra	07	28.690	77.076
Guna	35	24.647	77.311
Chandannagar	28	22.862	88.368
Baharampur	28	24.105	88.252
Shahuwadi	16	16.910	73.947
Madanapalle	02	13.550	78.503
Shivpuri	35	25.424	77.662
Surendranagar	09	22.727	71.649
Neyveli	25	11.609	79.499
Silchar	03	24.827	92.798
Proddatur	02	14.750	78.548
Hugli	28	22.909	88.397
Hashtsal	07	28.634	77.058
Amroha	36	28.903	78.470
Chhindwara	35	22.057	78.940
Tambaram	25	12.925	80.127
Bhetia	38	22.793	86.141
Pathankot	23	32.275	75.653
Badlapur	16	19.155	73.266
Cuddalore	25	11.756	79.767
Shimla	11	31.104	77.167
Gadag-Betageri	19	15.417	75.617
Gadag	19	15.430	75.630
Veraval	09	20.908	70.368
Navsari	09	20.942	72.925
Bahadurgarh	10	28.693	76.936
Haldia	28	22.060	88.110
Raiganj	28	25.613	88.124
Malda	28	25.004	88.146
Jaunpur	36	25.754	82.687
Deoli	07	28.503	77.231
Bharuch	09	21.695	72.981
Hoshiarpur	23	31.537	75.913
Jind	10	29.316	76.315
Kumbakonam	25	10.962	79.391
Mohali	23	30.680	76.722
Fatehpur	36	25.928	80.813
Tonk	24	26.166	75.788
Udupi	19	13.335	74.746
Thenali	02	16.243	80.640
Sitapur	36	27.562	80.683
Alandur	25	13.002	80.206
Bhadravati	19	13.848	75.705
Vapi	09	20.372	72.905
Moga	23	30.814	75.169
Raj-Nandgaon	37	21.097	81.029
Robertsonpet	19	12.956	78.275
Unnao	36	26.547	80.488
Budaun	36	28.038	79.127
Madhyamgram	28	22.689	88.446
Chittoor	02	13.211	79.096
Jamuria	28	23.705	87.079
Jaigaon	28	26.848	89.376
Batala	23	31.809	75.203
Orai	36	25.990	79.453
Saharsa	34	25.875	86.596
Vidisha	35	23.526	77.811
Hanumangarh	24	29.582	74.329
Thanesar	10	29.973	76.832
Hassan	19	13.007	76.096
Kishangarh	24	26.590	74.854
Dalupura	07	28.606	77.319
Rudrapur	39	28.980	79.400
Nalgonda	40	17.054	79.267
Hazaribagh	38	23.992	85.362
Medinipur	28	22.421	87.323
Balurghat	28	25.221	88.777
Fyzabad	36	26.775	82.150
Dinapore	34	25.637	85.048
Porbandar	09	21.642	69.609
Banda	36	25.478	80.335
Hindupur	02	13.828	77.491
Beawar	24	26.101	74.320
Anantnag	12	33.731	75.154
Serilingampalle	40	17.493	78.302
Raigarh	37	21.898	83.397
Malkajgiri	40	17.448	78.526
Shantipur	28	23.247	88.433
Bhuj	09	23.254	69.669
Barakpur	28	22.766	88.363
Hajipur	34	25.685	85.210
Sasaram	34	24.949	84.016
Bhimavaram	02	16.541	81.523
Beed	16	18.989	75.756
Burari	07	28.756	77.199
Krishnanagar	28	23.406	88.491
Chitradurga	19	14.223	76.400
Dibrugarh	03	27.480	94.908
Abohar	23	30.145	74.196
Tiruvannamalai	25	12.227	79.075
Kaithal	10	29.802	76.400
Balasore	21	21.493	86.933
Godhra	09	22.775	73.615
Shillong	18	25.569	91.883
Rewari	10	28.199	76.618
Basirhat City	28	22.661	88.855
Chhatarpur	35	24.918	79.589
Mandsaur	35	24.072	75.070
Chas	38	23.636	86.167
Palanpur	09	24.171	72.438
Lakhimpur	36	27.948	80.779
Valsad	09	20.610	72.934
Damoh	35	23.833	79.442
Haldwani	39	29.223	79.529
Habra	28	22.842	88.656
